viewDate,areaMunKm,areaUcKm,uc,uf,municipio
06/12/2019,0.58,0,,MT,Araputanga
06/12/2019,0.14,0,,MT,Porto Esperidiao
06/12/2019,0.11,0,,MT,Porto Esperidiao
06/12/2019,0.1,0,,MT,Mirassol D'oeste
06/12/2019,0.07,0,,MT,Mirassol D'oeste
06/12/2019,0.08,0,,MT,Mirassol D'oeste
06/12/2019,0.12,0,,MT,Lambari D'oeste
06/12/2019,0.37,0,,MT,Pontes E Lacerda
06/12/2019,3.46,0,,MT,Uniao do Sul
06/12/2019,0.22,0,,MT,Querencia
06/12/2019,0.43,0,,MT,Gaucha do Norte
06/12/2019,0.13,0,,MT,Gaucha do Norte
06/12/2019,0.35,0,,MT,Uniao do Sul
07/12/2019,0.22,0,,PA,Ulianopolis
07/12/2019,0.16,0,,PA,Ulianopolis
07/12/2019,0.46,0,,PA,Ulianopolis
07/12/2019,1.32,0,,PA,Ulianopolis
07/12/2019,0.32,0,,PA,Ulianopolis
07/12/2019,0.29,0,,PA,Ulianopolis
07/12/2019,0.3,0,,PA,Ulianopolis
07/12/2019,1.25,0,,PA,Ulianopolis
07/12/2019,0.41,0,,PA,Ulianopolis
07/12/2019,0.17,0,,PA,Ulianopolis
07/12/2019,0.09,0,,PA,Ulianopolis
07/12/2019,0.48,0,,PA,Ulianopolis
07/12/2019,0.29,0,,MA,Senador La Rocque
07/12/2019,0.07,0,,MA,Sao Francisco do Brejao
07/12/2019,0.07,0,,MA,Joao Lisboa
07/12/2019,0.09,0,,MA,Açailandia
07/12/2019,0.19,0,,MA,Sao Francisco do Brejao
07/12/2019,0.07,0,,MA,Santa Luzia
07/12/2019,0.07,0,,MA,Santa Luzia
07/12/2019,0.13,0,,MA,Maraja do Sena
07/12/2019,0.13,0,,MA,Arame
07/12/2019,0.16,0,,MA,Arame
07/12/2019,0.23,0,,MA,Açailandia
07/12/2019,0.16,0,,MA,Açailandia
07/12/2019,0.14,0,,MA,Açailandia
07/12/2019,0.08,0,,MA,Açailandia
07/12/2019,0.17,0,,MA,Maraja do Sena
07/12/2019,0.09,0,,MA,Maraja do Sena
07/12/2019,0.18,0,,MA,Maraja do Sena
07/12/2019,0.21,0,,MA,Santa Luzia
07/12/2019,0.14,0,,MA,Açailandia
07/12/2019,0.2,0,,MA,Açailandia
07/12/2019,0.33,0,,MA,Monçao
07/12/2019,0.12,0,,MA,Açailandia
07/12/2019,0.4,0,,MA,Monçao
07/12/2019,0.07,0,,MA,Amarante do Maranhao
07/12/2019,0.08,0,,MA,Amarante do Maranhao
07/12/2019,0.15,0,,MA,Bom Jardim
07/12/2019,0.53,0,,MA,Anajatuba
07/12/2019,0.09,0,,MA,Amarante do Maranhao
07/12/2019,0.12,0,,MA,Bom Jardim
07/12/2019,0.68,0,,MA,Itinga do Maranhao
07/12/2019,0.19,0,,MA,Itinga do Maranhao
06/12/2019,0.49,0,,MT,Uniao do Sul
07/12/2019,0.31,0,,PA,Ulianopolis
07/12/2019,0.11,0,,MA,Itinga do Maranhao
07/12/2019,0.13,0,,MA,Itinga do Maranhao
07/12/2019,0.09,0,,MA,Itinga do Maranhao
07/12/2019,0.06,0,,MA,Itinga do Maranhao
07/12/2019,0.16,0,,MA,Itinga do Maranhao
07/12/2019,0.14,0,,MA,Itinga do Maranhao
07/12/2019,0.07,0,,MA,Itinga do Maranhao
07/12/2019,0.09,0,,MA,Itapecuru Mirim
07/12/2019,0.09,0,,MA,Itapecuru Mirim
07/12/2019,0.13,0,,MA,Santa Rita
06/12/2019,1.27,0,,MT,Gaucha do Norte
07/12/2019,0.15,0,,MA,Bom Jardim
06/12/2019,0.21,0,,MT,Gaucha do Norte
07/12/2019,0.13,0,,MA,Bom Jesus das Selvas
07/12/2019,0.07,0,,MA,Presidente Juscelino
07/12/2019,0.1,0,,MA,Amarante do Maranhao
07/12/2019,0.2,0,,MA,Amarante do Maranhao
07/12/2019,0.12,0,,MA,Rosario
07/12/2019,0.07,0,,MA,Rosario
07/12/2019,0.07,0,,MA,Presidente Juscelino
07/12/2019,0.26,0,,PA,Paragominas
07/12/2019,0.13,0,,PA,Nova Esperança do Piria
07/12/2019,0.13,0,,MA,Bom Jesus das Selvas
07/12/2019,0.18,0,,MA,Bom Jesus das Selvas
07/12/2019,0.06,0,,MA,Bom Jardim
07/12/2019,0.13,0,,MA,Centro Novo do Maranhao
07/12/2019,0.1,0,,MA,Centro Novo do Maranhao
07/12/2019,0.47,0,,MA,Amarante do Maranhao
07/12/2019,0.1,0,,MA,Buriticupu
07/12/2019,0.07,0,,MA,Buriticupu
07/12/2019,0.08,0,,MA,Buriticupu
07/12/2019,0.08,0,,MA,Buriticupu
07/12/2019,0.07,0,,MA,Buriticupu
07/12/2019,0.07,0,,MA,Buriticupu
07/12/2019,0.06,0,,MA,Buriticupu
07/12/2019,0.11,0,,MA,Buriticupu
07/12/2019,0.07,0,,MA,Buriticupu
07/12/2019,0.07,0,,MA,Buriticupu
08/12/2019,0.07,0,,AM,Beruri
10/12/2019,0.54,0,,RR,Mucajai
10/12/2019,0.07,0,,RR,Mucajai
09/12/2019,0.06,0,,MT,Itanhanga
09/12/2019,0.09,0,,MT,Colider
09/12/2019,0.95,0,,MT,Colider
09/12/2019,0.1,0,,MT,Alta Floresta
09/12/2019,0.08,0,,PA,Tucuma
11/12/2019,0.09,0,,PA,Terra Santa
11/12/2019,0.1,0,,PA,Trairao
11/12/2019,0.08,0,,AM,Barreirinha
11/12/2019,0.08,0,,AM,Parintins
11/12/2019,0.09,0,,RR,Caroebe
11/12/2019,0.09,0,,RR,Rorainopolis
11/12/2019,0.12,0,,RR,Rorainopolis
11/12/2019,0.08,0,,RR,Rorainopolis
11/12/2019,0.1,0,,RR,Caracarai
11/12/2019,0.22,0,,RR,Caracarai
11/12/2019,0.11,0,,RR,Caracarai
11/12/2019,0.18,0,,RR,Canta
12/12/2019,0.18,0,,PA,Uruara
12/12/2019,0.4,0,,PA,Altamira
12/12/2019,0.12,0,,PA,Altamira
12/12/2019,0.12,0,,PA,Senador Jose Porfirio
12/12/2019,0.29,0,,PA,Senador Jose Porfirio
12/12/2019,0.42,0,,PA,Altamira
12/12/2019,0.59,0,,PA,Altamira
12/12/2019,0.29,0,,PA,Altamira
12/12/2019,0.07,0,,PA,Prainha
12/12/2019,0.06,0,,PA,Prainha
12/12/2019,0.21,0,,PA,Prainha
12/12/2019,0.06,0,,PA,Prainha
