Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Project Assistant,$40K-$108K (Glassdoor est.),"McDermott Will& Emery LLP is a leading international law firm with a diversified business practice representing commercial, industrial and financial enterprises both publicly and privately held. The Firm has a long history of social responsibility and supporting the communities in which our people live and work.

The Project Assistant provides administrative support to the attorneys and paralegals within the designated practice area. This position prepares and organizes case documents and assists with the setup and preparation for trials.

As a Project Assistant, you will:
Organize and index case files and documents
Prepare documents, including letters, forms, presentations, charts and spreadsheets, for attorney review
File documents with government agencies and courts
Assist with research requests; coordinate with the library for additional assistance, as needed
Coordinate with local office services for large copy and binder creation requests
Assist with trial preparation including assembling evidence notebooks with deposition summaries and key pleadings, setting up war rooms and trial work spaces, updating trial exhibits and lists, and filing case documents
Collaborate with the library to obtain expert background materials
Assist associates with the preparation of timelines and indices to organize and manage fact development for cases
Job Requirements:
Bachelor’s degree or Paralegal Certificate
Knowledge of Microsoft Office Suite (Excel, Outlook, PowerPoint, and Word)
Strong written and verbal communication skills
Strong organizational skills
Ability to work under tight deadlines and prioritize responsibilities
Ability to handle and maintain confidential information
*At this time we are not accepting agency candidate submissions for this search",3.9,"McDermott Will & Emery
3.9","San Francisco, CA",-1,501 to 1000 Employees,1934,Company - Private,Legal,Accounting & Legal,$1 to $2 billion (USD),-1
2021 Financial Products Analytics & Sales Internship - San Francisco,-1,"You have an understanding of the drivers behind market moving stories and events. You're a solution-finder, with a real passion for providing exceptional customer service in a fast-paced environment. With a desire to build a career in a client-facing role, you understand the importance of credibility and building relationships!
Join our comprehensive Analytics & Sales summer internship program, where you will rotate between both departments over the course of ten weeks, gaining an insight into what our graduate role has to offer!
What is the role?
You will start with a week of classroom based financial product and functionality training, to broaden your knowledge of the global financial markets and our market leading Bloomberg solutions. After your training, you'll join a team where you'll immediately begin collaborating with interns on Analytics and Sales projects.
You'll have the opportunity to interact with clients, making valuable contributions by taking part in sales campaigns, promoting product features and prospecting for new business. Hands-on individual and group projects will allow you to experience how your full-time career could evolve.
To round out your experience, you'll attend lunch and learn sessions, designed to teach you about our diversified group, and there will be plenty of opportunities to meet Bloomberg leaders at a variety of networking events. Of course we also want to give you the chance to get to know your peers, so you'll also take part in volunteering activities and social events with interns from other departments.
Analytics
We provide 24/7 support for Bloomberg Professional Service users all over the world and across multiple industries. Reaching us via our 'Instant Bloomberg' chat system, clients access unparalleled customer service where we answer their questions and help them maximize the value of Bloomberg's products. On any given day we respond to over 12,000 queries in more than 15 languages. From educating a portfolio manager on Bloomberg's risk management solutions to helping a trader use our functionality to discover new sources of market liquidity – the variety of problems we solve is immense.
Bloomberg is constantly innovating and Analytics plays a key role in ensuring clients are educated on new products and enhancements by proactively working closely to upskill them through technology, and delivering on-site training and seminars. We also work in conjunction with Enterprise Sales to deliver on strategic initiatives, supporting product roll-out and onboarding clients. We want to ensure our clients are making the most of our service and using tools and features that allow them to work smarter.
Sales
In Sales, we're the face of Bloomberg for our clients. Consultative and entrepreneurial, we manage client relationships, whilst striving to continually grow our revenue by identifying new business opportunities.
We spend our time with our clients, understanding their business goals and outpacing their expectations. Guided by curiosity and purpose, we work to understand their workflows and present them with the most appropriate solutions across our range of enterprise offerings.
We're discovering new business leads by making prospecting calls and networking. We demonstrate how Bloomberg's product offering will help our clients make the best investment/trading/business decisions, making their day to day business smoother and more profitable.
You need to have:
Strong critical-thinking and problem-solving skills
A demonstrated interest in the financial markets and the aspiration to work in the financial services industry
The resilience to learn and adapt quickly in a dynamic environment
Real ambition to pursue a client-facing career, with a strong interest in relationship management and sales
Outstanding communication skills (both written and verbal)
Availability for the full 10-week duration of the internship from June 14th – August 27th 2021
The ability to start in a full-time role in 2022
We'd love to see:
Work experience in a client facing role
Interest in technology
Apply if you think we're a good match. We'll get in touch to let you know what the next steps are! Please note this is a two stage application process, following the submission of your candidate details you will receive an email with directions to complete an online assessment. Your application will not be complete until you have submitted the assessment.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.0,"Bloomberg
4.0","San Francisco, CA",-1,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Human Resources Manager,$56K-$110K (Glassdoor est.),"Role:

The People Operations Manager is a culture champion and enthusiast leader. This position reports to the Chief People Officer and oversees two HR specialists. As a member of the Senior Leadership Team, the People Operations Manager will lead and direct the routine functions of the Human Resources (HR) department including hiring and interviewing staff, delivering training, overseeing employee relations, and enforcing company policies and practices.
Duties and Responsibilities:

Partners with the leadership team to understand and execute the organizations human resource and talent strategy particularly as it relates to current and future talent needs, recruiting, retention, succession planning. Diversity and inclusion initiatives.
Provides support and guidance to HR specialists in their respective area of expertise.
Provide support and guidance management, and other staff when complex, specialized, and sensitive questions and issues arise; may be required to administer and execute routine tasks in delicate circumstances such as providing reasonable accommodations.
Participate in stay and exit interviews.
Manages the talent acquisition process, which may include recruitment, interviewing, and hiring of qualified job applicants, particularly for managerial, exempt, and professional roles; collaborates with departmental managers to understand skills and competencies required for openings.
Write and update job descriptions as needed.
Extend offer letters and takes the lead on succession planning, promotions, and transfers; sends out offer letters to document staffing movements.
Analyzes trends in compensation and benefits; researches and proposes competitive base and incentive pay programs to ensure the organization attracts and retains top talent.
Assist in creating learning and development programs and initiatives that provide internal development opportunities for employees.
Oversees employee disciplinary meetings, mediation, and investigations. Escalate employee relations issues when investigating allegations of wrongdoing or termination arise.
Develops and maintains affirmative action program; files EEO-1 annually; maintains other records, reports and logs to conform to EEO regulations.
Ensure that department records, organizational chart and directory are maintained properly.
Ensure that data are accurate in the HRIS.
Responsible for monitoring, updating, and rolling out the performance evaluation program.
Evaluates reports, decisions and results of department initiatives in relation to established goals. Recommends new approaches, policies and procedures to effect continual improvements in efficiency of department and services performed.
Maintains compliance with federal, state, and local employment laws and regulations, and recommended best practices; reviews policies and practices to maintain compliance.
Creates, maintains, and updates a Standard Operating Procedures (SOP) document for the role of People Operations Manager.
Maintains knowledge of trends, best practices, regulatory changes, and new technologies in human resources, talent management, and employment law.
Participates in developing department goals, objectives and systems.
Performs other duties as assigned.

Required Skills/Abilities:
Excellent verbal and written communication skills.
Excellent interpersonal, negotiation, and conflict resolution skills.
Strong Interest in cultural humility, D&I strategy
Excellent organizational skills and attention to detail.
Strong analytical and problem-solving skills.
Ability to prioritize tasks and to delegate them when appropriate.
Ability to act with integrity, professionalism, and confidentiality.
Thorough knowledge of employment-related laws and regulations.
Proficient with Microsoft Office Suite or related software.
Proficiency with or the ability to quickly learn the organizations HRIS and talent management systems.
Expertise with Paycom preferred.

Minimum Qualifications:
Bachelors degree in Human Resources, Business Administration, or related field required.
A minimum of three years of human resource management experience preferred.
SHRM-CP or SHRM-SCP highly desired.

Work Environment
While performing the duties of this job, the employee regularly works in an office setting.
Physical Demands
Prolonged periods of sitting at a desk and working on a computer.
Must be able to lift 15 pounds at times.
Must be able to access and navigate each department at the organizations facilities

Position Type/Expected Hours of Work
This is a full-time exempt position. Days and hours of operations are Monday through Friday, 8:00 a.m. to 5:00 p.m.

Travel
Local travel to various worksites is required. Employees must have a good driving record and will need regular access to a car.

Work Authorization/Security Clearance
Employees must pass a background check and receive TB and health clearances prior to employment.

A Better Way is committed to workforce diversity. Qualified applicants will receive full consideration without regard to age, race, color, ethnic background, religion, gender, sexual orientation, HIV-status, national origin or disability. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Qualifications",4.3,"A Better Way
4.3","Berkeley, CA",-1,51 to 200 Employees,-1,Company - Private,Social Assistance,Non-Profit,$5 to $10 million (USD),-1
"Studio Coordinator, School of Fashion",$27K-$48K (Glassdoor est.),"Driven. Engaging. Innovative. Do these words motivate you? If so, then we want to talk with you. Academy of Art University offers a rewarding employment experience for those who excel in a dynamic environment and who can consistently deliver high-caliber customer service. We thrive on ingenuity and pursue ideas every day that lead to extraordinary opportunities for tomorrow.
Academy of Art University's School of Fashion is seeking to hire a full-time Studio Coordinator to support the daily operations of the school's sewing lab operations. This is a great position for someone that enjoys working in a creative environment while supporting a diverse population of faculty and students. Day-to-day responsibilities include:
Assist FT Faculty with sewing and pattern tracing needs as it pertains to class content and demos.
Assist with the maintenance and monitoring of the library of pattern blocks.
Use and provide guidance on the proper application of specialty machinery including Overlocker, Serger, Coverstitch and Buttonholer.
Assist Instructors with supply and equipment needs and resolve related questions.
Assemble Instructor supplies in kit form each semester.
Assist with the assembly of sewing kits for respective classes.
Supervise the Sewing Lab for cleanliness, order and to ensure that students follow lab rules.
Perform equipment care and maintenance:
Change light bulbs as needed
Refill water for the iron(s)
File reports for iron repair and monthly maintenance needs
Clean machinery wheels when needed
Monitor dress forms per classroom
Post each semester’s lab availability outside classrooms.
Maintain inventory of equipment.
Maintain storage closets with fabric and notions inventory.
Assist with San Francisco graduate fashion show as well as other special events as needed.
Perform other classroom and lab-related duties as assigned.
Requirements:
Must possess a working knowledge of specialty machinery including flatbeds, cover stitch, overlocker, and buttonholer machines
At least 3 or 4 years of sewing experience within the industry or a studio
Benefits:
Academy of Art University offers full-time employees health insurance, 401k options, paid vacation based on years of service (15 days' accrual at start), paid holidays, paid sick leave and a commuter benefit program. The Academy also offers full-time employees an opportunity to take one undergraduate course tuition free each semester. Once we’ve returned onsite, full-time employees will also regain access to our multi-lane swimming pool, two fitness centers and our many recreational programs, including our NCAA Division II events.
IND123
Academy of Art University is an equal opportunity employer. All applicants will be considered regardless of age, Aids or HIV positive status, marital status, domestic partnership, medical condition or genetic characteristics, race or national origin, pregnancy, religion, sex, gender identity, gender or sexual orientation, name change, citizenship, physical or mental disability, veteran status or other status protected by federal, state, local or other law . Equal access to the hiring process, services, and employment is available to all persons. Applicants requiring accommodations to the application and/or interview process should contact the Human Resources Manager by calling 415-274-2222. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",2.4,"Academy of Art University
2.4","San Francisco, CA",-1,1001 to 5000 Employees,1929,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1
Warehouse Package Handler,$13-$15 Per Hour(Glassdoor est.),"FedEx Ground is an essential business that needs people to help us support the economy, handling life-saving medications and other items that keep our communities as prepared as possible during these uncertain times.
FedEx Ground will continue to hire for essential positions like this one.

FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment. Part-time employees typically work a 2-4-hour shift per day. Full-time employees work approximately two shifts per day of varying lengths. Package Handlers are responsible for warehouse duties including: the physical loading, unloading and/or sorting of packages of varying sizes and weights by hand, including lifting, pushing, pulling, carrying, scanning, placing packages, as well as physical bending, twisting, kneeling and etc. in a safe and efficient manner. Shifts may vary depending on warehouse package volume and business needs.

Package Handlers will receive a competitive hourly rate and are eligible for an attractive benefits package including medical, dental, vision, vacation, holiday pay, parental leave and tuition assistance after completion of an eligibility period. Flexible schedules are offered at many of our locations and will be discussed during the hiring process.

Individuals who are interested in starting their journey with FedEx Ground must be at least 18 years of age and will be required to watch a virtual job preview before moving forward with the employment application process.

Reasonable accommodations are available for qualified individuals with disabilities throughout the application process.
Address: 1070 San Mateo Ave
City: S San Francisco
State: California
Zip Code: 94080
Domicile Location: P941
Additional Location Information: $17.30 H/R
EEO Statement
FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce",3.5,"FedEx Ground PH US
3.5","San Francisco, CA",-1,10000+ Employees,2000,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),-1
Amazon Order Filler - Earn up to $690 a week!,-1,"Warehouse Team Member (Reduced-Time, Part-Time, Flexible Hours)

Shifts:
Early Morning, Day, Evening, Weekend

Location:
455 Valley Drive, Brisbane, CA 94005
Job opportunities vary by location. We update postings daily with open positions.

Salary
Earn $17.25/hr

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.

Stay active during your shift in this fast-paced warehouse environment. In this job, you’ll work in a small warehouse. This space is different than our other bigger warehouse buildings, it’s more like the size of a grocery store.
Here are some of the things you’ll get to do:
Use smartphone, manage apps, and scan bar codes
Get grocery orders prepared for delivery
Put new grocery inventory away
Check for order quality
Rotate tasks throughout week
Communicate directly with customers both verbally and in writing
Amazon Fresh offers customers everything from cereal to ice cream. This means that you will work in freezer and refrigerated spaces for parts of your shift. It can be cold, but we’ll provide you with the right gear to stay warm!

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working here:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Reliable hours: We will give you a stable schedule you can count on.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you’re part of a great team.



Candidates must be 18 years or older.
Basic qualifications:
High school, GED, or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon Workforce Staffing
3.9","San Francisco, CA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Order Filler - Earn $690 a week (South San Francisco),-1,"Warehouse Team Member (Reduced-Time, Part-Time, Flexible Hours)

Shifts:
Early Morning, Day, Evening, Weekend

Location:
455 Valley Drive, Brisbane, CA 94005
Job opportunities vary by location. We update postings daily with open positions.

Salary
Earn $17.25/hr

Immediate openings available now.
Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.

Stay active during your shift in this fast-paced warehouse environment. In this job, you’ll work in a small warehouse. This space is different than our other bigger warehouse buildings, it’s more like the size of a grocery store.
Here are some of the things you’ll get to do:
Use smartphone, manage apps, and scan bar codes
Get grocery orders prepared for delivery
Put new grocery inventory away
Check for order quality
Rotate tasks throughout week
Communicate directly with customers both verbally and in writing
Amazon Fresh offers customers everything from cereal to ice cream. This means that you will work in freezer and refrigerated spaces for parts of your shift. It can be cold, but we’ll provide you with the right gear to stay warm!

Candidates must be 18 years or older with the ability to read and speak English for safety purposes.

Reasons you’ll love working here:
Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy.
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Reliable hours: We will give you a stable schedule you can count on.
Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.
Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.
Teamwork environment: Work is more fun when you’re part of a great team.



Candidates must be 18 years or older.
Basic qualifications:
High school, GED, or equivalent diploma

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon Workforce Staffing
3.9","San Francisco, CA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Employment Law Attorney,-1,"Employment Law Attorney:
The Davis Wang Law Firm is a woman and minority-owned boutique employment law and litigation firm based in San Francisco’s financial district. We are expanding our firm and are looking for seasoned employment law attorneys who enjoy working directly with clients, building their own practice, and independently and collaboratively working with a team on sophisticated advice and counseling, compliance and transactional work, and litigation matters. We provide flexible work schedules and allow telecommuting/working from home, but candidates will be expected to spend some time working in the office. We provide professional development paths to motivated and results-oriented employment attorneys.
Our comprehensive employment law practice includes compliance advice and counseling, audits and workplace investigations, preparation of employee handbooks and policies and procedures, harassment prevention and management training, as well as representations before administrative agencies, and the defense of lawsuits ranging from single plaintiff to class and PAGA litigations arising in state and federal courts and arbitration proceedings. Our expertise covers all aspects of the employee-employer relationship, including hiring, discipline, and termination; disability accommodations; family, medical, and other leaves of absences; Covid-19/infectious disease legal compliance; wage and hour compliance; misclassification issues; reductions in force; claims of discrimination, harassment, retaliation, and/or wrongful termination; workplace violence prevention programs, employee mobility and the protection of trade secrets; non-competition and non-solicitation agreements; independent contractor agreements; drug and alcohol testing; criminal and other background checks; and employee misconduct investigations. Our clients range from “mom and pop businesses” to Fortune 500 corporations and non-profit organizations in a wide range of industries.
If you are licensed to practice in California, have at least five (5) years of experience practicing employment law, and are interested in learning more about joining the Davis Wang team, we invite you to submit your resume and a writing sample. At Davis Wang, we are committed to maintaining diversity among our team and encourage candidates of all genders, nationalities, races, ethnicities, ages and sexual orientations to apply. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.
To learn more about us, please visit our website at https://www.daviswanglaw.com/.
We looking forward to hearing from you!
Job Type: Full-time
Job Type: Full-time
Pay: $82,620.00 - $197,433.00 per year
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19",-1,"Davis Wang, A Professional Law Corporation","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Counselor - Remote,-1,"Private practice with no doors and no overhead.
Join the world's largest online counseling platform.
We provide the marketing, the technology, and the additional income. You provide the professionalism, clinical experience, and care.
More About BetterHelp:
· BetterHelp's secure online platform and broad network of licensed mental health therapists help those facing life’s challenges by providing easy, affordable, and private access to professional counseling.
· BetterHelp has facilitated millions of HIPAA-compliant video sessions, voice calls, live chats, and messages that let people get the help they need using their computer, tablet, or smartphone - anytime, anywhere.
· In 2015 we expanded our resources and expertise by joining Teladoc Health (NYSE: TDOC), the nation’s first and world's largest telehealth organization, helping to make BetterHelp the world’s largest and most reputable e-counseling platform for online therapists.
Benefits for Counselors:
· Counselors Focus on Clinical Work: Your focus is 100% on counseling. You do not need to worry about acquiring clients, billing, support, or operations. We handle it all!
· Reliable Income: BetterHelp can be your major source of income (""full time"") or a supplement to your current work. You choose your caseload size, and you are in control of your schedule and appointment times.
· Work Flexibility: Become an online counselor and work from the comfort of your home on your own schedule.
· Zero Overhead: No fees are collected from the counselor, ever.
Who Should Apply
· Licensed Professional Counselors (LPC), Licensed Clinical Social Workers (LCSW), Licensed Marriage and Family Therapists (LMFT), Psychologists, and Licensed Mental Health Counselors (LMHC) are all encouraged to apply!
· Counselors looking for an easy, all-in-one technology platform for telehealth (online mental health counseling).
· Counselors looking for a variety of ways to engage - for example, through the 3 types of live sessions available (video, phone, and live chat), through the asynchronous messaging component, through worksheets, through shared journal entries, through audio and video messages, and more.
· Counselors who are looking for a strong and accessible peer community, directly through the platform. With over 8,000 mental health therapists on the BetterHelp platform, you’ll have a forum to ask and answer any questions you might have!
Requirements
· Counselors must be licensed by a State Board to provide counseling (e.g., LCSW, LMFT, LPC, PsyD or similar credentials).
NOTE: Unfortunately, if you are an intern or if you require supervision to provide counseling services, you cannot be a provider on BetterHelp at this time. Also, we are unable to accept substance abuse counselors, school counselors, registered nurses, career counselors, Christian counselors, and business coaches (unless they have an additional license as a mental health counselor).
· Experience counseling adults, couples, and/or teens
· Excellent written communication
· Reliable Internet connection
· Currently residing in the US
Note: Counselors are independent providers, not BetterHelp employees.
Job Type: Contract
Work Remotely:
Yes",-1,BetterHelp.com Counselors,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
Mandarin Assistant Teacher | Toddler Program,-1,"A BIT ABOUT US
*
Tinycare was founded a bit over a year ago with a mission to reinvent childcare. We run a village of urban micro-centers combining the intimacy and small ratios of a traditional home-based daycare with the support and consistency of a center-based model. This hybrid model promotes nurturing children, supporting families, and valuing educators. We are Montessori, Reggio Emilia and Waldorf inspired, believe in whole child development and creating intentional, beautiful and natural environments for children. We believe in supporting educators by providing subsidized housing to the Head Teacher, professional development and potential career pathways, operational and licensing support, and low child: teacher ratios - with a total of no more than 8 children in each classroom, which is led by two teachers.
*
*
As a start-up organization based in Silicon Valley, we embrace emerging technologies and tools that support the operation of consistent, high-quality care centers, but we are committed to a screen-free model that puts a primacy on rich experiences, the development of meaningful relationships, and frequent opportunities for imagination and exploration.
*
*
THE OPPORTUNITY
In our growing organization, you will be developing a wide range of skills from communication to families, building relationships with children, planning and preparing rich lessons and activities, and managing an active, needs-appropriate classroom. Through our professional development program and in-role experiences, you will develop your skills as both an early childhood teacher and leader at the center level and within the community. You will learn how to create curriculum, manage budgets, engage with families and the broader community, and oversee the growth and development of your children as you prepare to become a Head Teacher.
While in the HTIT program, you will have hands-on experience working with young children from the ages of 18-36 months by assisting children with daily routines, naps, and making organic meals: snack & lunch, while also, maintaining a safe, healthy and fun environment. You will partner with a resident Tinycare Head Teacher in operating your center, and who will provide increased opportunities over time to take more leadership and responsibility in the operation of the center and engagement with the families and community.
WITHIN 1 MONTH, YOU’LL
Develop communication skills within your fellow educators and families
Learn how daily routines are set in your classroom
Learn our values on how we speak to children, including serve-and-return and positive discipline approaches
Internalize the core elements and practices of the Tinycare model, and begin to execute lessons and activities for individuals and small groups
WITHIN 3 MONTHS, YOU’LL
Create stronger relationships with fellow students, families, and across the Tinycare team
Develop lesson plans and materials and execute lessons for all groupings
Engage in a cohort-based professional development model focused on opening your own at-home care center
WITHIN 6 MONTHS, YOU’LL
Confidently lesson plan and create and manage menus + supply management
Lead the classroom for full days
Learn about the licensing process and requirements
Be eligible to rise into a Head Teacher position
*
Job Type: Full-time
Pay: $18.00 - $23.00 per hour
Schedule:
8 hour shift
Experience:
childcare: 1 year (Preferred)
Toddler: 1 year (Preferred)
Language:
Mandarin (Preferred)
Work Location:
One location
Company's website:
tinycare.co/teachers
Work Remotely:
No",5.0,"Tinycare
5.0","San Francisco, CA",-1,1 to 50 Employees,2018,Company - Private,Preschool & Child Care,Education,Unknown / Non-Applicable,-1
